crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
corn,,,,,skip,,,
corn,5,1,5,15,fertilizer,comp_manure,broadcast,15000
corn,5,2,5,16,tillage,plow25,,
corn,5,3,5,17,tillage,chisplow,,
corn,5,4,5,18,plant,corn,,
corn,5,5,5,19,fertilizer,7:20:30,broadcast,300
corn,6,1,6,10,fertilizer,elem_n,broadcast,43
corn,10,1,11,10,harvest_only,corn,grain,
corn,10,1,11,10,kill_only,corn,,
corn_cons,,,,,skip,,,
corn_cons,5,1,5,15,fertilizer,comp_manure,broadcast,15000
corn_cons,5,2,5,16,tillage,plow25,,
corn_cons,5,3,5,17,tillage,chisplow,,
corn_cons,5,4,5,18,plant,corn,,
corn_cons,5,5,5,19,fertilizer,7:20:30,broadcast,300
corn_cons,6,1,6,10,fertilizer,elem_n,broadcast,43
corn_cons,10,1,11,10,harvest_only,corn,grain,
corn_cons,10,1,11,10,kill_only,corn,,
pump,,,,,skip,,,
pump,4,20,4,30,fertilizer,comp_manure,broadcast,15000
pump,4,21,5,1,tillage,plow25,,
pump,4,22,5,2,tillage,chisplow,,
pump,5,1,5,10,plant,pump,,
pump,5,2,5,11,fertilizer,7:20:30,broadcast,300
pump,6,1,6,10,fertilizer,elem_n,broadcast,43
pump,9,15,10,15,harvest_only,pump,seed,
pump,9,15,10,15,kill_only,pump,,
pump_cons,,,,,skip,,,
pump_cons,4,20,4,30,fertilizer,comp_manure,broadcast,15000
pump_cons,4,22,5,2,tillage,chisplow,,
pump_cons,5,1,5,10,plant,pump,,
pump_cons,5,2,5,11,fertilizer,7:20:30,broadcast,300
pump_cons,6,1,6,10,fertilizer,elem_n,broadcast,43
pump_cons,9,15,10,15,harvest_only,pump,seed,
pump_cons,9,15,10,15,kill_only,pump,,
csil,,,,,skip,,,
csil,5,1,5,15,fertilizer,comp_manure,broadcast,15000
csil,5,2,5,16,tillage,plow25,,
csil,5,3,5,17,tillage,chisplow,,
csil,5,4,5,18,plant,csil,,
csil,5,5,5,19,fertilizer,7:20:30,broadcast,300
csil,6,1,6,10,fertilizer,elem_n,broadcast,54
csil,6,20,6,30,fertilizer,elem_n,broadcast,69
csil,9,11,10,30,harvest_only,csil,silage,
csil,9,11,10,30,kill_only,csil,,
csil_cons,,,,,skip,,,
