lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
grap,,,,,initial_plant,grap,"2,20000,0,0,1,10000",
grap,2,20,3,10,fertilizer,elem_n,broadcast,50
grap,2,20,3,10,fertilizer,elem_p,broadcast,20
grap,9,1,9,10,harvest_only,grap,orchard,NA
grap,11,10,11,20,fertilizer,elem_n,broadcast,25
grap,11,10,11,20,fertilizer,elem_p,broadcast,10
orcd,,,,,initial_plant,orcd,"2,20000,0,0,1,10000",
orcd,9,1,10,31,harvest_only,orcd,orchard,
fesc,,,,,initial_plant,fesc,"1,1000,0,0,1,1000",
fesc,3,5,4,5,fertilizer,comp_manure,broadcast,6250
fesc,5,5,5,30,harvest_only,fesc,hay_cut_low,NA
fesc,5,10,6,5,fertilizer,comp_manure,broadcast,5000
fesc,8,10,8,30,harvest_only,fesc,hay_cut_low,NA
past,,,,,initial_plant,fesc,"1,1000,0,0,1,1000",
past,3,5,4,5,fertilizer,comp_manure,broadcast,6250
past,5,5,5,30,harvest_only,fesc,hay_cut_low,NA
past,5,10,6,5,fertilizer,comp_manure,broadcast,5000
past,8,10,8,30,harvest_only,fesc,hay_cut_low,NA
frst,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
wetl,,,,,initial_plant,wetl,"2,50000,0,0,1,10000",
rngb,,,,,initial_plant,rngb,"2,20000,0,0,1,10000",
urld,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
urld,9,1,9,1,harvest_only,rnge,grass_mulch,
urmd,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
urmd,9,1,9,1,harvest_only,rnge,grass_mulch,
buff,,,,,initial_plant,rngb,"2,20000,0,0,1,10000",
